country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,average_expenditure_per_capita,rating_by_capita
"Egypt, Arab Rep.",71.03570557,70.36794281,65.58682251,51.60063553,51.60012436,60.99180603,68.03048706,75.12869263,92.32979584,101.21813965,107.41892242,118.69612122,142.75941467,142.59768677,158.20581055,173.5194397,145.2776947,107.98847961,120.22325897,145.31028748,150.90655518,179.68119812,109.11250097181818,Low
Euro area,1731.76763396263,1773.85360805696,1975.28991811948,2475.41075343528,2831.3982838333,2948.50692391146,3116.70747871714,3536.61549065219,3995.23842511878,3929.31984679664,3814.88914648705,4075.64252434495,3801.61158669037,3979.12820817892,4067.47778901443,3496.66150485081,3561.53311882605,3753.00672714098,4042.97762502346,3989.30175072551,4261.99408108328,4787.38991406252,3452.078288137827,Very High
Eritrea,13.1751833,13.99944115,14.81900692,18.62379265,21.77468681,20.60617447,22.31639481,18.39959717,19.69238472,22.65766335,24.43300056,33.27035522,25.96233749,29.52669525,31.54170799,26.82466125,23.64590836,22.35861588,24.02440262,25.98394394,24.70353127,25.36040497,22.895449552272726,Low
Spain,1005.28399658,1045.05065918,1174.5793457,1640.91772461,1924.27087402,2060.3215332,2242.15869141,2606.27783203,2995.18603516,2937.71826172,2789.63720703,2908.91967773,2590.2253418,2629.46679688,2679.4765625,2349.09375,2376.60107422,2524.68481445,2741.38256836,2716.83349609,2899.01879883,3234.29296875,2366.8817277386365,Very High
Estonia,209.97769165,214.70417786,250.48020935,368.97955322,474.50796509,549.63024902,627.18377686,866.49945068,1082.15478516,1006.50708008,966.19024658,1061.1628418,1058.71960449,1194.86206055,1287.76123047,1156.20275879,1226.0859375,1350.12646484,1553.43347168,1599.3503418,1789.03479004,2094.50317383,999.4571755154545,Moderate
Ethiopia,5.31966591,5.54697561,5.19038343,5.76164436,5.79775095,6.55709887,8.53116226,11.78915215,13.22203732,15.36375141,16.40672684,14.83500671,20.28753662,19.53577042,21.90294838,23.53430557,24.67317772,24.51061249,23.84538269,26.22917175,28.69671059,26.47735214,16.091560190454544,Low
European Union,1432.35277019243,1474.97066736184,1651.23877680534,2071.378798221,2374.38071043375,2486.37869298716,2636.24781800468,3008.40101952643,3418.11579033098,3342.05402119897,3270.55598548573,3525.83677658458,3300.52871180537,3462.30178927707,3538.02457925448,3044.85664888036,3106.87037721715,3281.33301852986,3537.57494622609,3493.60306218542,3736.95088318893,4215.43320193993,2973.15404752898,Very High
Fragile and conflict affected situations,23.0976727978829,23.3571788006352,23.2380972417291,30.25472327525,35.2574445007881,41.0775555065011,48.7147914038621,57.6952773707082,66.8857140794568,61.6336396299303,67.126954549053,72.621634092334,75.6548769175033,81.2921076239729,80.3199026542498,72.1620192799674,70.2731494666116,68.7517486344916,73.3223762140029,73.4308338276997,75.167284360249,82.1187888262949,59.24789868423516,Low
Finland,1727.0,1810.0,2059.0,2614.0,3044.0,3237.0,3415.0,3919.0,4486.0,4350.0,4252.0,4718.0,4573.0,4892.0,4923.0,4128.0,4109.0,4236.0,4522.0,4460.0,4736.0,5488.0,3895.3636363636365,Very High
Fiji,75.03528595,62.10351181,70.07132721,86.89743042,111.04244995,121.23509216,127.42844391,141.43360901,135.50376892,121.84300232,128.39637756,141.65603638,154.21617126,159.02124023,178.70599365,169.72981262,176.06861877,185.6439209,249.3664856,253.74330139,231.98277283,250.02554321,151.41591800272727,Low
France,2161.85302734,2192.71557617,2449.75830078,3006.3059082,3458.62744141,3575.02514648,3811.55175781,4312.31054688,4807.37451172,4737.578125,4592.38330078,4931.87792969,4644.59570313,4884.76660156,4980.81494141,4201.78173828,4256.765625,4410.59912109,4666.97998047,4504.48486328,4755.44042969,5380.875,4123.839344371363,Very High
"Micronesia, Fed. Sts.",161.96359253,181.9655304,170.6489563,209.74185181,259.0256958,399.60940552,246.3755188,259.47079468,290.11981201,325.83734131,361.8036499,377.49035645,370.9263916,353.22512817,343.00762939,359.78536987,396.62982178,405.31103516,422.44638062,420.57949829,398.57369995,393.3493042,323.08576202454543,Low
Gabon,123.33141327,121.066185,132.21743774,166.88827515,182.61399841,190.27209473,212.61395264,254.19885254,271.5098877,283.02966309,207.93783569,262.77456665,226.32527161,262.78244019,234.42152405,188.42417908,208.90524292,193.97592163,211.22572327,208.28834534,228.02458191,233.87103271,209.30447387818182,Low
United Kingdom,2020.52832031,2052.34667969,2306.12841797,2784.53955078,3366.34155273,3536.32299805,3857.4855957,4367.53564453,4297.47509766,3914.19580078,3956.38891602,4199.08398438,4242.23486328,4304.47802734,4697.76025391,4433.85839844,4017.34228516,3910.81420898,4226.20507813,4268.67724609,4906.23974609,5738.48486328,3882.021251331818,Very High
Georgia,53.0,57.0,67.0,82.0,107.0,134.0,154.0,199.0,286.0,275.0,290.0,317.0,349.0,358.0,369.0,294.0,321.0,304.0,332.0,309.0,355.0,417.0,246.77272727272728,Low
Ghana,16.27483559,19.207201,19.75684166,23.23123741,25.61305428,39.75449371,45.96789932,54.75652313,61.90890884,61.81399536,71.6121521,95.87026215,83.48946381,104.81430817,78.03632355,77.74266815,64.43041229,74.56986237,82.98774719,93.18772125,87.4445343,100.00096893,62.83960975272728,Low
Guinea,23.00282097,22.04349136,25.15307426,25.93502045,26.76063919,19.94359016,16.35091019,22.80706406,23.25375366,24.00493431,22.8732872,24.42393684,23.99205208,26.22439003,37.0862999,43.94221497,38.91920853,33.02272034,35.30637741,42.68258667,41.6195488,44.68689728,29.274309939090905,Low
"Gambia, The",46.73692703,38.21402359,36.57312012,28.66201591,32.3373642,33.33732224,33.49129486,35.92889786,39.97063065,34.4699173,32.81699753,30.82727623,29.30704689,25.33724403,17.14346313,19.42744446,20.47114944,21.2003746,22.84936142,22.83255005,26.24802017,24.62883568,29.673239881363642,Low
Guinea-Bissau,13.3205328,14.86868,14.40980339,14.86718845,18.48643875,21.1059761,22.80813217,26.1655159,34.93793869,27.59508705,31.5948391,44.70295334,37.72527695,46.01106644,64.91837311,52.38645935,56.52604294,54.74217224,58.78644943,54.0177002,68.04572296,68.81868744,38.4927744,Low
Equatorial Guinea,18.72773552,27.99723434,75.52088928,87.19217682,104.68054199,122.74163055,144.0280304,179.56561279,222.33100891,255.58073425,241.66999817,266.68746948,284.08352661,289.67935181,294.76089478,229.11935425,229.76306152,231.0456543,248.69200134,231.83953857,246.76673889,255.56524658,194.91083777954546,Low
Greece,885.41052246,1004.81542969,1168.82409668,1566.40979004,1782.69592285,1935.26757813,2052.87548828,2426.75952148,2840.50854492,2809.05957031,2564.36938477,2338.91503906,1948.24853516,1832.02966309,1700.49438477,1481.41967773,1513.25915527,1509.7845459,1603.07788086,1569.02905273,1675.11706543,1845.77563477,1820.6430220172726,Very High
Grenada,259.3835144,271.16744995,308.3371582,287.2850647,293.60290527,324.55722046,321.82662964,355.66372681,395.50680542,370.04714966,366.41027832,393.21112061,401.84506226,405.39501953,368.81384277,389.39382935,392.77981567,433.48513794,438.918396,487.60290527,469.00775146,505.40463257,374.5293371027272,Low
Guatemala,83.3463974,99.68914795,107.24440002,112.98001099,121.73466492,131.9634552,148.54319763,158.37693787,175.1161499,168.85533142,174.79473877,190.7144928,200.33554077,198.33766174,216.79504395,233.41566467,246.11730957,265.18399048,265.74734497,278.54898071,289.1265564,340.95812988,191.26932490954547,Low
Guyana,62.85141754,60.46850204,65.32598114,68.42656708,74.88806915,85.49252319,98.42082214,125.84896088,138.78439331,150.38439941,162.99217224,186.59481812,202.51856995,212.02635193,216.9332428,228.02095032,237.30305481,268.69104004,298.95074463,317.6022644,377.86999512,470.56878662,186.8619830390909,Low
